model_name,class_type,model_id,window_id,split,accuracy,n_obs,n_pred_0,n_true_0,n_pred_1,n_true_1,n_pred_minus_1,n_true_minus_1
logit,binary,logit_binary,win_01,train,0.5373608903020668,1258.0,699.0,651.0,559.0,607.0,,
logit,binary,logit_binary,win_01,val,0.5396825396825397,63.0,38.0,27.0,25.0,36.0,,
logit,binary,logit_binary,win_01,test,0.47540983606557374,61.0,16.0,30.0,45.0,31.0,,
logit,binary,logit_binary,win_02,train,0.5373608903020668,1258.0,684.0,646.0,574.0,612.0,,
logit,binary,logit_binary,win_02,val,0.5737704918032787,61.0,10.0,30.0,51.0,31.0,,
logit,binary,logit_binary,win_02,test,0.5692307692307692,65.0,30.0,30.0,35.0,35.0,,
logit,binary,logit_binary,win_03,train,0.5401750198886237,1257.0,690.0,646.0,567.0,611.0,,
logit,binary,logit_binary,win_03,val,0.5538461538461539,65.0,33.0,30.0,32.0,35.0,,
logit,binary,logit_binary,win_03,test,0.46875,64.0,47.0,29.0,17.0,35.0,,
logit,binary,logit_binary,win_04,train,0.5357710651828299,1258.0,690.0,644.0,568.0,614.0,,
logit,binary,logit_binary,win_04,val,0.59375,64.0,7.0,29.0,57.0,35.0,,
logit,binary,logit_binary,win_04,test,0.5555555555555556,63.0,42.0,28.0,21.0,35.0,,
logit,binary,logit_binary,win_05,train,0.5461049284578696,1258.0,603.0,638.0,655.0,620.0,,
logit,binary,logit_binary,win_05,val,0.6349206349206349,63.0,19.0,28.0,44.0,35.0,,
logit,binary,logit_binary,win_05,test,0.45901639344262296,61.0,0.0,33.0,61.0,28.0,,
logit,binary,logit_binary,win_06,train,0.5445151033386327,1258.0,574.0,631.0,684.0,627.0,,
logit,binary,logit_binary,win_06,val,0.45901639344262296,61.0,2.0,33.0,59.0,28.0,,
logit,binary,logit_binary,win_06,test,0.484375,64.0,22.0,33.0,42.0,31.0,,
logit,binary,logit_binary,win_07,train,0.5401750198886237,1257.0,496.0,632.0,761.0,625.0,,
logit,binary,logit_binary,win_07,val,0.5,64.0,29.0,33.0,35.0,31.0,,
logit,binary,logit_binary,win_07,test,0.5,64.0,22.0,28.0,42.0,36.0,,
logit,binary,logit_binary,win_08,train,0.543357199681782,1257.0,495.0,635.0,762.0,622.0,,
logit,binary,logit_binary,win_08,val,0.5625,64.0,10.0,28.0,54.0,36.0,,
logit,binary,logit_binary,win_08,test,0.47619047619047616,63.0,27.0,30.0,36.0,33.0,,
logit,binary,logit_binary,win_09,train,0.5425616547334925,1257.0,460.0,629.0,797.0,628.0,,
logit,binary,logit_binary,win_09,val,0.5555555555555556,63.0,16.0,30.0,47.0,33.0,,
logit,binary,logit_binary,win_09,test,0.4262295081967213,61.0,41.0,26.0,20.0,35.0,,
logit,binary,logit_binary,win_10,train,0.5416997617156474,1259.0,360.0,625.0,899.0,634.0,,
logit,binary,logit_binary,win_10,val,0.5901639344262295,61.0,5.0,26.0,56.0,35.0,,
logit,binary,logit_binary,win_10,test,0.46875,64.0,7.0,33.0,57.0,31.0,,
logit,binary,logit_binary,win_11,train,0.5361397934868943,1259.0,350.0,616.0,909.0,643.0,,
logit,binary,logit_binary,win_11,val,0.5,64.0,27.0,33.0,37.0,31.0,,
logit,binary,logit_binary,win_11,test,0.640625,64.0,21.0,22.0,43.0,42.0,,
logit,binary,logit_binary,win_12,train,0.5369340746624305,1259.0,340.0,611.0,919.0,648.0,,
logit,binary,logit_binary,win_12,val,0.671875,64.0,7.0,22.0,57.0,42.0,,
logit,binary,logit_binary,win_12,test,0.4838709677419355,62.0,36.0,32.0,26.0,30.0,,
logit,binary,logit_binary,win_13,train,0.5369340746624305,1259.0,320.0,595.0,939.0,664.0,,
logit,binary,logit_binary,win_13,val,0.45161290322580644,62.0,20.0,32.0,42.0,30.0,,
logit,binary,logit_binary,win_13,test,0.4918032786885246,61.0,37.0,28.0,24.0,33.0,,
logit,binary,logit_binary,win_14,train,0.5357710651828299,1258.0,243.0,601.0,1015.0,657.0,,
logit,binary,logit_binary,win_14,val,0.6065573770491803,61.0,30.0,28.0,31.0,33.0,,
logit,binary,logit_binary,win_14,test,0.53125,64.0,46.0,32.0,18.0,32.0,,
logit,binary,logit_binary,win_15,train,0.527027027027027,1258.0,191.0,598.0,1067.0,660.0,,
logit,binary,logit_binary,win_15,val,0.4375,64.0,36.0,32.0,28.0,32.0,,
logit,binary,logit_binary,win_15,test,0.4375,64.0,32.0,34.0,32.0,30.0,,
logit,binary,logit_binary,win_16,train,0.5349761526232114,1258.0,292.0,597.0,966.0,661.0,,
logit,binary,logit_binary,win_16,val,0.5,64.0,50.0,34.0,14.0,30.0,,
logit,binary,logit_binary,win_16,test,0.49206349206349204,63.0,23.0,35.0,40.0,28.0,,
logit,binary,logit_binary,win_17,train,0.5393169181890389,1259.0,362.0,598.0,897.0,661.0,,
logit,binary,logit_binary,win_17,val,0.5079365079365079,63.0,34.0,35.0,29.0,28.0,,
logit,binary,logit_binary,win_17,test,0.45161290322580644,62.0,16.0,30.0,46.0,32.0,,
logit,binary,logit_binary,win_18,train,0.5242255758538522,1259.0,404.0,609.0,855.0,650.0,,
logit,binary,logit_binary,win_18,val,0.5,62.0,13.0,30.0,49.0,32.0,,
logit,binary,logit_binary,win_18,test,0.5555555555555556,63.0,37.0,33.0,26.0,30.0,,
logit,binary,logit_binary,win_19,train,0.5194598888006354,1259.0,424.0,609.0,835.0,650.0,,
logit,binary,logit_binary,win_19,val,0.5396825396825397,63.0,40.0,33.0,23.0,30.0,,
logit,binary,logit_binary,win_19,test,0.4444444444444444,63.0,2.0,35.0,61.0,28.0,,
logit,binary,logit_binary,win_20,train,0.5448768864177919,1259.0,410.0,605.0,849.0,654.0,,
logit,binary,logit_binary,win_20,val,0.5873015873015873,63.0,49.0,35.0,14.0,28.0,,
logit,binary,logit_binary,win_20,test,0.49206349206349204,63.0,39.0,37.0,24.0,26.0,,
logit,binary,logit_binary,win_21,train,0.5416997617156474,1259.0,433.0,608.0,826.0,651.0,,
logit,binary,logit_binary,win_21,val,0.5873015873015873,63.0,63.0,37.0,0.0,26.0,,
logit,binary,logit_binary,win_21,test,0.5,62.0,61.0,30.0,1.0,32.0,,
logit,binary,logit_binary,win_22,train,0.5385226370135028,1259.0,521.0,618.0,738.0,641.0,,
logit,binary,logit_binary,win_22,val,0.4838709677419355,62.0,28.0,30.0,34.0,32.0,,
logit,binary,logit_binary,win_22,test,0.38095238095238093,63.0,41.0,28.0,22.0,35.0,,
logit,binary,logit_binary,win_23,train,0.5396825396825397,1260.0,470.0,618.0,790.0,642.0,,
logit,binary,logit_binary,win_23,val,0.4444444444444444,63.0,17.0,28.0,46.0,35.0,,
logit,binary,logit_binary,win_23,test,0.5625,64.0,30.0,28.0,34.0,36.0,,
logit,binary,logit_binary,win_24,train,0.5405405405405406,1258.0,478.0,616.0,780.0,642.0,,
logit,binary,logit_binary,win_24,val,0.609375,64.0,15.0,28.0,49.0,36.0,,
logit,binary,logit_binary,win_24,test,0.5555555555555556,63.0,35.0,31.0,28.0,32.0,,
logit,binary,logit_binary,win_25,train,0.5445151033386327,1258.0,496.0,615.0,762.0,643.0,,
logit,binary,logit_binary,win_25,val,0.6031746031746031,63.0,30.0,31.0,33.0,32.0,,
logit,binary,logit_binary,win_25,test,0.3709677419354839,62.0,30.0,31.0,32.0,31.0,,
logit,binary,logit_binary,win_26,train,0.5429252782193958,1258.0,483.0,618.0,775.0,640.0,,
logit,binary,logit_binary,win_26,val,0.5161290322580645,62.0,35.0,31.0,27.0,31.0,,
logit,binary,logit_binary,win_26,test,0.5238095238095238,63.0,26.0,38.0,37.0,25.0,,
logit,binary,logit_binary,win_27,train,0.556791104050834,1259.0,588.0,616.0,671.0,643.0,,
logit,binary,logit_binary,win_27,val,0.5873015873015873,63.0,62.0,38.0,1.0,25.0,,
logit,binary,logit_binary,win_27,test,0.578125,64.0,64.0,37.0,0.0,27.0,,
logit,binary,logit_binary,win_28,train,0.5508744038155803,1258.0,660.0,621.0,598.0,637.0,,
logit,binary,logit_binary,win_28,val,0.578125,64.0,64.0,37.0,0.0,27.0,,
logit,binary,logit_binary,win_28,test,0.3333333333333333,63.0,63.0,21.0,0.0,42.0,,
logit,binary,logit_binary,win_29,train,0.5437201907790143,1258.0,554.0,630.0,704.0,628.0,,
logit,binary,logit_binary,win_29,val,0.5396825396825397,63.0,14.0,21.0,49.0,42.0,,
logit,binary,logit_binary,win_29,test,0.5245901639344263,61.0,60.0,33.0,1.0,28.0,,
logit,binary,logit_binary,win_30,train,0.5476947535771065,1258.0,602.0,621.0,656.0,637.0,,
logit,binary,logit_binary,win_30,val,0.5737704918032787,61.0,45.0,33.0,16.0,28.0,,
logit,binary,logit_binary,win_30,test,0.4444444444444444,63.0,54.0,35.0,9.0,28.0,,
logit,binary,logit_binary,win_31,train,0.5532591414944356,1258.0,608.0,628.0,650.0,630.0,,
logit,binary,logit_binary,win_31,val,0.5396825396825397,63.0,62.0,35.0,1.0,28.0,,
logit,binary,logit_binary,win_31,test,0.515625,64.0,64.0,33.0,0.0,31.0,,
logit,binary,logit_binary,win_32,train,0.5536992840095465,1257.0,633.0,630.0,624.0,627.0,,
logit,binary,logit_binary,win_32,val,0.515625,64.0,64.0,33.0,0.0,31.0,,
logit,binary,logit_binary,win_32,test,0.5079365079365079,63.0,62.0,31.0,1.0,32.0,,
logit,binary,logit_binary,win_33,train,0.5425616547334925,1257.0,812.0,641.0,445.0,616.0,,
logit,binary,logit_binary,win_33,val,0.49206349206349204,63.0,61.0,31.0,2.0,32.0,,
logit,binary,logit_binary,win_33,test,0.3333333333333333,63.0,63.0,21.0,0.0,42.0,,
logit,binary,logit_binary,win_34,train,0.5381558028616852,1258.0,699.0,640.0,559.0,618.0,,
logit,binary,logit_binary,win_34,val,0.6666666666666666,63.0,0.0,21.0,63.0,42.0,,
logit,binary,logit_binary,win_34,test,0.5079365079365079,63.0,2.0,29.0,61.0,34.0,,
logit,binary,logit_binary,win_35,train,0.5452380952380952,1260.0,692.0,633.0,568.0,627.0,,
logit,binary,logit_binary,win_35,val,0.5396825396825397,63.0,14.0,29.0,49.0,34.0,,
logit,binary,logit_binary,win_35,test,0.53125,64.0,61.0,35.0,3.0,29.0,,
logit,binary,logit_binary,win_36,train,0.5432883240667196,1259.0,653.0,630.0,606.0,629.0,,
logit,binary,logit_binary,win_36,val,0.5625,64.0,45.0,35.0,19.0,29.0,,
logit,binary,logit_binary,win_36,test,0.4603174603174603,63.0,55.0,29.0,8.0,34.0,,
logit,binary,logit_binary,win_37,train,0.556791104050834,1259.0,653.0,631.0,606.0,628.0,,
logit,binary,logit_binary,win_37,val,0.4603174603174603,63.0,45.0,29.0,18.0,34.0,,
logit,binary,logit_binary,win_37,test,0.4666666666666667,60.0,38.0,28.0,22.0,32.0,,
logit,binary,logit_binary,win_38,train,0.5552025416997617,1259.0,603.0,625.0,656.0,634.0,,
logit,binary,logit_binary,win_38,val,0.5166666666666667,60.0,7.0,28.0,53.0,32.0,,
logit,binary,logit_binary,win_38,test,0.4444444444444444,63.0,17.0,28.0,46.0,35.0,,
logit,binary,logit_binary,win_39,train,0.5600636435958631,1257.0,626.0,623.0,631.0,634.0,,
logit,binary,logit_binary,win_39,val,0.5714285714285714,63.0,15.0,28.0,48.0,35.0,,
logit,binary,logit_binary,win_39,test,0.5555555555555556,63.0,25.0,35.0,38.0,28.0,,
logit,binary,logit_binary,win_40,train,0.5393794749403341,1257.0,619.0,618.0,638.0,639.0,,
logit,binary,logit_binary,win_40,val,0.5396825396825397,63.0,38.0,35.0,25.0,28.0,,
logit,binary,logit_binary,win_40,test,0.5238095238095238,63.0,54.0,32.0,9.0,31.0,,
nn,binary,nn_binary,win_01,train,0.8434022257551669,1258.0,662.0,651.0,596.0,607.0,,
nn,binary,nn_binary,win_01,val,0.7301587301587301,63.0,26.0,27.0,37.0,36.0,,
nn,binary,nn_binary,win_01,test,0.5901639344262295,61.0,25.0,30.0,36.0,31.0,,
nn,binary,nn_binary,win_02,train,0.8744038155802861,1258.0,656.0,646.0,602.0,612.0,,
nn,binary,nn_binary,win_02,val,0.8524590163934426,61.0,31.0,30.0,30.0,31.0,,
nn,binary,nn_binary,win_02,test,0.5846153846153846,65.0,31.0,30.0,34.0,35.0,,
nn,binary,nn_binary,win_03,train,0.8806682577565632,1257.0,662.0,646.0,595.0,611.0,,
nn,binary,nn_binary,win_03,val,0.9076923076923077,65.0,28.0,30.0,37.0,35.0,,
nn,binary,nn_binary,win_03,test,0.515625,64.0,42.0,29.0,22.0,35.0,,
nn,binary,nn_binary,win_04,train,0.8664546899841018,1258.0,618.0,644.0,640.0,614.0,,
nn,binary,nn_binary,win_04,val,0.8125,64.0,27.0,29.0,37.0,35.0,,
nn,binary,nn_binary,win_04,test,0.5238095238095238,63.0,30.0,28.0,33.0,35.0,,
nn,binary,nn_binary,win_05,train,0.78060413354531,1258.0,636.0,638.0,622.0,620.0,,
nn,binary,nn_binary,win_05,val,0.8412698412698413,63.0,24.0,28.0,39.0,35.0,,
nn,binary,nn_binary,win_05,test,0.4426229508196721,61.0,1.0,33.0,60.0,28.0,,
nn,binary,nn_binary,win_06,train,0.8664546899841018,1258.0,617.0,631.0,641.0,627.0,,
nn,binary,nn_binary,win_06,val,0.9344262295081968,61.0,35.0,33.0,26.0,28.0,,
nn,binary,nn_binary,win_06,test,0.546875,64.0,30.0,33.0,34.0,31.0,,
nn,binary,nn_binary,win_07,train,0.9196499602227526,1257.0,617.0,632.0,640.0,625.0,,
nn,binary,nn_binary,win_07,val,0.953125,64.0,32.0,33.0,32.0,31.0,,
nn,binary,nn_binary,win_07,test,0.453125,64.0,53.0,28.0,11.0,36.0,,
nn,binary,nn_binary,win_08,train,0.9236276849642004,1257.0,657.0,635.0,600.0,622.0,,
nn,binary,nn_binary,win_08,val,0.9375,64.0,30.0,28.0,34.0,36.0,,
nn,binary,nn_binary,win_08,test,0.47619047619047616,63.0,39.0,30.0,24.0,33.0,,
nn,binary,nn_binary,win_09,train,0.7422434367541766,1257.0,625.0,629.0,632.0,628.0,,
nn,binary,nn_binary,win_09,val,0.746031746031746,63.0,36.0,30.0,27.0,33.0,,
nn,binary,nn_binary,win_09,test,0.4426229508196721,61.0,44.0,26.0,17.0,35.0,,
nn,binary,nn_binary,win_10,train,0.8872120730738682,1259.0,605.0,625.0,654.0,634.0,,
nn,binary,nn_binary,win_10,val,0.8360655737704918,61.0,22.0,26.0,39.0,35.0,,
nn,binary,nn_binary,win_10,test,0.484375,64.0,38.0,33.0,26.0,31.0,,
nn,binary,nn_binary,win_11,train,0.6092136616362193,1259.0,548.0,616.0,711.0,643.0,,
nn,binary,nn_binary,win_11,val,0.640625,64.0,36.0,33.0,28.0,31.0,,
nn,binary,nn_binary,win_11,test,0.34375,64.0,44.0,22.0,20.0,42.0,,
nn,binary,nn_binary,win_12,train,0.7696584590945195,1259.0,595.0,611.0,664.0,648.0,,
nn,binary,nn_binary,win_12,val,0.796875,64.0,21.0,22.0,43.0,42.0,,
nn,binary,nn_binary,win_12,test,0.45161290322580644,62.0,30.0,32.0,32.0,30.0,,
nn,binary,nn_binary,win_13,train,0.8347895154884829,1259.0,561.0,595.0,698.0,664.0,,
nn,binary,nn_binary,win_13,val,0.9354838709677419,62.0,32.0,32.0,30.0,30.0,,
nn,binary,nn_binary,win_13,test,0.47540983606557374,61.0,38.0,28.0,23.0,33.0,,
nn,binary,nn_binary,win_14,train,0.8314785373608903,1258.0,621.0,601.0,637.0,657.0,,
nn,binary,nn_binary,win_14,val,0.8032786885245902,61.0,24.0,28.0,37.0,33.0,,
nn,binary,nn_binary,win_14,test,0.5625,64.0,40.0,32.0,24.0,32.0,,
nn,binary,nn_binary,win_15,train,0.5739268680445151,1258.0,414.0,598.0,844.0,660.0,,
nn,binary,nn_binary,win_15,val,0.546875,64.0,47.0,32.0,17.0,32.0,,
nn,binary,nn_binary,win_15,test,0.5,64.0,46.0,34.0,18.0,30.0,,
nn,binary,nn_binary,win_16,train,0.8990461049284578,1258.0,586.0,597.0,672.0,661.0,,
nn,binary,nn_binary,win_16,val,0.90625,64.0,30.0,34.0,34.0,30.0,,
nn,binary,nn_binary,win_16,test,0.42857142857142855,63.0,31.0,35.0,32.0,28.0,,
nn,binary,nn_binary,win_17,train,0.69340746624305,1259.0,586.0,598.0,673.0,661.0,,
nn,binary,nn_binary,win_17,val,0.6190476190476191,63.0,49.0,35.0,14.0,28.0,,
nn,binary,nn_binary,win_17,test,0.43548387096774194,62.0,49.0,30.0,13.0,32.0,,
nn,binary,nn_binary,win_18,train,0.6147736298649722,1259.0,534.0,609.0,725.0,650.0,,
nn,binary,nn_binary,win_18,val,0.5967741935483871,62.0,39.0,30.0,23.0,32.0,,
nn,binary,nn_binary,win_18,test,0.5079365079365079,63.0,28.0,33.0,35.0,30.0,,
nn,binary,nn_binary,win_19,train,0.8316123907863384,1259.0,597.0,609.0,662.0,650.0,,
nn,binary,nn_binary,win_19,val,0.8571428571428571,63.0,32.0,33.0,31.0,30.0,,
nn,binary,nn_binary,win_19,test,0.5396825396825397,63.0,36.0,35.0,27.0,28.0,,
nn,binary,nn_binary,win_20,train,0.6957903097696585,1259.0,564.0,605.0,695.0,654.0,,
nn,binary,nn_binary,win_20,val,0.8095238095238095,63.0,31.0,35.0,32.0,28.0,,
nn,binary,nn_binary,win_20,test,0.49206349206349204,63.0,37.0,37.0,26.0,26.0,,
nn,binary,nn_binary,win_21,train,0.9181890389197777,1259.0,627.0,608.0,632.0,651.0,,
nn,binary,nn_binary,win_21,val,0.9682539682539683,63.0,39.0,37.0,24.0,26.0,,
nn,binary,nn_binary,win_21,test,0.5,62.0,47.0,30.0,15.0,32.0,,
nn,binary,nn_binary,win_22,train,0.6036536934074662,1259.0,575.0,618.0,684.0,641.0,,
nn,binary,nn_binary,win_22,val,0.6451612903225806,62.0,30.0,30.0,32.0,32.0,,
nn,binary,nn_binary,win_22,test,0.4126984126984127,63.0,19.0,28.0,44.0,35.0,,
nn,binary,nn_binary,win_23,train,0.7555555555555555,1260.0,608.0,618.0,652.0,642.0,,
nn,binary,nn_binary,win_23,val,0.7777777777777778,63.0,20.0,28.0,43.0,35.0,,
nn,binary,nn_binary,win_23,test,0.53125,64.0,24.0,28.0,40.0,36.0,,
nn,binary,nn_binary,win_24,train,0.8553259141494436,1258.0,538.0,616.0,720.0,642.0,,
nn,binary,nn_binary,win_24,val,0.84375,64.0,26.0,28.0,38.0,36.0,,
nn,binary,nn_binary,win_24,test,0.6349206349206349,63.0,34.0,31.0,29.0,32.0,,
nn,binary,nn_binary,win_25,train,0.7551669316375199,1258.0,607.0,615.0,651.0,643.0,,
nn,binary,nn_binary,win_25,val,0.8571428571428571,63.0,30.0,31.0,33.0,32.0,,
nn,binary,nn_binary,win_25,test,0.5,62.0,38.0,31.0,24.0,31.0,,
nn,binary,nn_binary,win_26,train,0.8235294117647058,1258.0,636.0,618.0,622.0,640.0,,
nn,binary,nn_binary,win_26,val,0.8709677419354839,62.0,31.0,31.0,31.0,31.0,,
nn,binary,nn_binary,win_26,test,0.5238095238095238,63.0,34.0,38.0,29.0,25.0,,
nn,binary,nn_binary,win_27,train,0.8586179507545671,1259.0,594.0,616.0,665.0,643.0,,
nn,binary,nn_binary,win_27,val,0.8253968253968254,63.0,35.0,38.0,28.0,25.0,,
nn,binary,nn_binary,win_27,test,0.5,64.0,39.0,37.0,25.0,27.0,,
nn,binary,nn_binary,win_28,train,0.6430842607313195,1258.0,596.0,621.0,662.0,637.0,,
nn,binary,nn_binary,win_28,val,0.640625,64.0,56.0,37.0,8.0,27.0,,
nn,binary,nn_binary,win_28,test,0.3333333333333333,63.0,63.0,21.0,0.0,42.0,,
nn,binary,nn_binary,win_29,train,0.6868044515103339,1258.0,636.0,630.0,622.0,628.0,,
nn,binary,nn_binary,win_29,val,0.6666666666666666,63.0,16.0,21.0,47.0,42.0,,
nn,binary,nn_binary,win_29,test,0.4426229508196721,61.0,19.0,33.0,42.0,28.0,,
nn,binary,nn_binary,win_30,train,0.787758346581876,1258.0,642.0,621.0,616.0,637.0,,
nn,binary,nn_binary,win_30,val,0.819672131147541,61.0,36.0,33.0,25.0,28.0,,
nn,binary,nn_binary,win_30,test,0.5079365079365079,63.0,46.0,35.0,17.0,28.0,,
nn,binary,nn_binary,win_31,train,0.6478537360890302,1258.0,635.0,628.0,623.0,630.0,,
nn,binary,nn_binary,win_31,val,0.7142857142857143,63.0,35.0,35.0,28.0,28.0,,
nn,binary,nn_binary,win_31,test,0.484375,64.0,18.0,33.0,46.0,31.0,,
nn,binary,nn_binary,win_32,train,0.7772474144789181,1257.0,664.0,630.0,593.0,627.0,,
nn,binary,nn_binary,win_32,val,0.796875,64.0,30.0,33.0,34.0,31.0,,
nn,binary,nn_binary,win_32,test,0.49206349206349204,63.0,61.0,31.0,2.0,32.0,,
nn,binary,nn_binary,win_33,train,0.594272076372315,1257.0,691.0,641.0,566.0,616.0,,
nn,binary,nn_binary,win_33,val,0.6190476190476191,63.0,41.0,31.0,22.0,32.0,,
nn,binary,nn_binary,win_33,test,0.3333333333333333,63.0,63.0,21.0,0.0,42.0,,
nn,binary,nn_binary,win_34,train,0.800476947535771,1258.0,663.0,640.0,595.0,618.0,,
nn,binary,nn_binary,win_34,val,0.8412698412698413,63.0,27.0,21.0,36.0,42.0,,
nn,binary,nn_binary,win_34,test,0.5238095238095238,63.0,43.0,29.0,20.0,34.0,,
nn,binary,nn_binary,win_35,train,0.8753968253968254,1260.0,654.0,633.0,606.0,627.0,,
nn,binary,nn_binary,win_35,val,0.9206349206349206,63.0,30.0,29.0,33.0,34.0,,
nn,binary,nn_binary,win_35,test,0.578125,64.0,36.0,35.0,28.0,29.0,,
nn,binary,nn_binary,win_36,train,0.704527402700556,1259.0,632.0,630.0,627.0,629.0,,
nn,binary,nn_binary,win_36,val,0.734375,64.0,30.0,35.0,34.0,29.0,,
nn,binary,nn_binary,win_36,test,0.4126984126984127,63.0,26.0,29.0,37.0,34.0,,
nn,binary,nn_binary,win_37,train,0.8554408260524226,1259.0,631.0,631.0,628.0,628.0,,
nn,binary,nn_binary,win_37,val,0.9206349206349206,63.0,28.0,29.0,35.0,34.0,,
nn,binary,nn_binary,win_37,test,0.55,60.0,39.0,28.0,21.0,32.0,,
nn,binary,nn_binary,win_38,train,0.7974583002382843,1259.0,628.0,625.0,631.0,634.0,,
nn,binary,nn_binary,win_38,val,0.8166666666666667,60.0,27.0,28.0,33.0,32.0,,
nn,binary,nn_binary,win_38,test,0.6349206349206349,63.0,11.0,28.0,52.0,35.0,,
nn,binary,nn_binary,win_39,train,0.6412092283214001,1257.0,586.0,623.0,671.0,634.0,,
nn,binary,nn_binary,win_39,val,0.6984126984126984,63.0,17.0,28.0,46.0,35.0,,
nn,binary,nn_binary,win_39,test,0.5396825396825397,63.0,8.0,35.0,55.0,28.0,,
nn,binary,nn_binary,win_40,train,0.6690533015115354,1257.0,632.0,618.0,625.0,639.0,,
nn,binary,nn_binary,win_40,val,0.7142857142857143,63.0,39.0,35.0,24.0,28.0,,
nn,binary,nn_binary,win_40,test,0.5238095238095238,63.0,50.0,32.0,13.0,31.0,,
logit,multiclass,logit_multiclass,win_01,train,0.7472178060413355,1258.0,1258.0,940.0,0.0,147.0,0.0,171.0
logit,multiclass,logit_multiclass,win_01,val,0.7936507936507936,63.0,63.0,50.0,0.0,9.0,0.0,4.0
logit,multiclass,logit_multiclass,win_01,test,0.7540983606557377,61.0,61.0,46.0,0.0,8.0,0.0,7.0
logit,multiclass,logit_multiclass,win_02,train,0.7503974562798092,1258.0,1258.0,944.0,0.0,149.0,0.0,165.0
logit,multiclass,logit_multiclass,win_02,val,0.7377049180327869,61.0,61.0,45.0,0.0,8.0,0.0,8.0
logit,multiclass,logit_multiclass,win_02,test,0.8153846153846154,65.0,65.0,53.0,0.0,6.0,0.0,6.0
logit,multiclass,logit_multiclass,win_03,train,0.7462211614956245,1257.0,1257.0,938.0,0.0,152.0,0.0,167.0
logit,multiclass,logit_multiclass,win_03,val,0.8153846153846154,65.0,65.0,53.0,0.0,6.0,0.0,6.0
logit,multiclass,logit_multiclass,win_03,test,0.921875,64.0,64.0,59.0,0.0,4.0,0.0,1.0
logit,multiclass,logit_multiclass,win_04,train,0.7408585055643879,1258.0,1258.0,932.0,0.0,157.0,0.0,169.0
logit,multiclass,logit_multiclass,win_04,val,0.921875,64.0,64.0,59.0,0.0,4.0,0.0,1.0
logit,multiclass,logit_multiclass,win_04,test,0.8412698412698413,63.0,63.0,53.0,0.0,8.0,0.0,2.0
logit,multiclass,logit_multiclass,win_05,train,0.7448330683624801,1258.0,1258.0,937.0,0.0,154.0,0.0,167.0
logit,multiclass,logit_multiclass,win_05,val,0.8412698412698413,63.0,63.0,53.0,0.0,8.0,0.0,2.0
logit,multiclass,logit_multiclass,win_05,test,0.7704918032786885,61.0,61.0,47.0,0.0,5.0,0.0,9.0
logit,multiclass,logit_multiclass,win_06,train,0.7488076311605724,1258.0,1258.0,942.0,0.0,157.0,0.0,159.0
logit,multiclass,logit_multiclass,win_06,val,0.7704918032786885,61.0,61.0,47.0,0.0,5.0,0.0,9.0
